"ROI (%)","Error Rate (%)","Win/Loss Ratio","# Trades/Day","Ending Balance ($)","# Wins","# Losses","Period","# Days","Trend EMA","Oversold RSI","Oversold RSI Periods","Neutral Rate","Full Parameters"
66.979,40,1.5,1.5,1669.79277397,9,6,"10m",10,11,29,7,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 29,  ""oversold_rsi_periods"": 7,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 7,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
66.979,40,1.5,1.5,1669.79277397,9,6,"10m",10,11,26,6,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 26,  ""oversold_rsi_periods"": 6,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 6,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
64.074,46.15,1.167,1.3,1640.73664917,7,6,"10m",10,11,28,6,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 28,  ""oversold_rsi_periods"": 6,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 6,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
63.735,50,1,1,1637.34797366,5,5,"10m",10,11,29,6,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 29,  ""oversold_rsi_periods"": 6,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 6,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
63.432,42.86,1.333,2.1,1634.319696,12,9,"10m",10,11,25,8,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 25,  ""oversold_rsi_periods"": 8,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 8,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
63.327,44.44,1.25,1.8,1633.27454686,10,8,"10m",10,11,28,8,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 28,  ""oversold_rsi_periods"": 8,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 8,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
63.327,44.44,1.25,1.8,1633.27454686,10,8,"10m",10,11,25,7,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 25,  ""oversold_rsi_periods"": 7,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 7,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
63.327,44.44,1.25,1.8,1633.27454686,10,8,"10m",10,11,22,6,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 22,  ""oversold_rsi_periods"": 6,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 6,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
63.327,44.44,1.25,1.8,1633.27454686,10,8,"10m",10,11,21,6,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 21,  ""oversold_rsi_periods"": 6,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 6,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
63.327,44.44,1.25,1.8,1633.27454686,10,8,"10m",10,11,23,6,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 23,  ""oversold_rsi_periods"": 6,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 6,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
61.923,47.62,1.1,2.1,1619.23474146,11,10,"10m",10,11,24,7,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 24,  ""oversold_rsi_periods"": 7,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 7,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
61.923,47.62,1.1,2.1,1619.23474146,11,10,"10m",10,11,27,8,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 27,  ""oversold_rsi_periods"": 8,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 8,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
61.923,47.62,1.1,2.1,1619.23474146,11,10,"10m",10,11,26,8,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 26,  ""oversold_rsi_periods"": 8,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 8,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
61.923,47.62,1.1,2.1,1619.23474146,11,10,"10m",10,11,23,7,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 23,  ""oversold_rsi_periods"": 7,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 7,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
61.495,50,1,1,1614.94754928,5,5,"10m",10,11,30,6,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 30,  ""oversold_rsi_periods"": 6,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 6,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
61.052,47.62,1.1,2.1,1610.51960989,11,10,"10m",10,11,20,6,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 20,  ""oversold_rsi_periods"": 6,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 6,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
60.524,55.56,0.8,14.4,1605.2415965,64,80,"10m",10,11,24,7,"auto","{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": ""auto"",  ""order_adjust_time"": 30000,  ""oversold_rsi"": 24,  ""oversold_rsi_periods"": 7,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 7,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
60.524,55.56,0.8,14.4,1605.2415965,64,80,"10m",10,11,27,8,"auto","{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": ""auto"",  ""order_adjust_time"": 30000,  ""oversold_rsi"": 27,  ""oversold_rsi_periods"": 8,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 8,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
59.81,55,0.818,14,1598.10388812,63,77,"10m",10,11,22,7,"auto","{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": ""auto"",  ""order_adjust_time"": 30000,  ""oversold_rsi"": 22,  ""oversold_rsi_periods"": 7,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 7,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
59.334,54.93,0.821,14.2,1593.33858752,64,78,"10m",10,11,23,7,"auto","{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": ""auto"",  ""order_adjust_time"": 30000,  ""oversold_rsi"": 23,  ""oversold_rsi_periods"": 7,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 7,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
59.284,54.61,0.831,14.1,1592.83920785,64,77,"10m",10,11,26,8,"auto","{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": ""auto"",  ""order_adjust_time"": 30000,  ""oversold_rsi"": 26,  ""oversold_rsi_periods"": 8,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 8,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
59.134,54.61,0.831,14.1,1591.33659364,64,77,"10m",10,11,24,8,"auto","{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": ""auto"",  ""order_adjust_time"": 30000,  ""oversold_rsi"": 24,  ""oversold_rsi_periods"": 8,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 8,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
